Site,Meters of SC&SP,% Cover SC&SP,Meters of RB,% Cover RB
1,4.0,13%,0.0,0%
2,14.3,48%,0.0,0%
3,2.1,7%,0.0,0%
4,1.1,4%,28.8,96%
5,0.0,0%,0.0,0%
6,1.6,5%,0.0,0%
7,0.0,0%,12.0,40%
8,6.0,20%,8.0,27%
9,23.5,78%,0.0,0%
10,30.0,100%,0.0,0%
11,30.0,100%,0.0,0%
12,26.1,87%,0.0,0%
13,12.9,43%,0.0,0%
14,30.0,100%,0.0,0%
15,30.0,100%,0.0,0%
16,24.7,82%,0.0,0%
17,8.4,28%,0.0,0%
18,0.0,0%,0.0,0%
19,0.9,3%,0.0,0%
20,0.0,0%,0.0,0%
21,2.5,8%,0.0,0%
22,0.0,0%,0.0,0%
23,0.0,0%,0.0,0%
24,0.0,0%,1.3,4%
25,0.0,0%,0.0,0%
26,0.0,0%,0.0,0%
27,0.0,0%,0.0,0%
28,0.0,0%,24.0,80%
29,12.6,42%,6.9,23%
30,0.0,0%,0.0,0%
31,0.0,0%,0.0,0%
32,0.0,0%,0.0,0%
33,2.4,8%,0.0,0%
34,0.0,0%,0.0,0%
35,0.0,0%,0.0,0%
36,0.0,0%,0.0,0%
37,0.0,0%,29.4,98%
38,0.0,0%,0.0,0%
39,0.0,0%,0.0,0%
40,0.0,0%,0.0,0%
41,0.0,0%,0.0,0%
